Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
METALP001S,Jubei (2),To Have & Have Not Album Sampler,Metalheadz,"12"", Smplr",,2013,4950892,Uncategorized,2017-02-25 22:50:03,,,
METALPLTD001,Jubei (2),To Have & Have Not Album Sampler,Metalheadz,"10"", Ltd, Num, Smplr, W/Lbl",,2013,4994171,Uncategorized,2022-12-31 09:29:55,,,
665 096,Various,2001: A Space Odyssey (Music From The Motion Picture Sound Track),MGM Records,"LP, Album, RP, Gat",,0,411327,Uncategorized,2017-02-26 03:54:49,,,
MONKEYTOWN019,Lazer Sword,Sounds Sane / Klock,Monkeytown Records,"10"", Ltd, Pin",,2011,3245249,Uncategorized,2023-02-06 06:04:21,Mint (M),Mint (M),
SHADOWXV 41,Deep Blue,The Helicopter Tune,Moving Shadow,"12"", RE",,2005,596114,Uncategorized,2017-02-26 03:55:52,,,
MPD043,Spacetime Continuum,Fluresence E.P.,Musique Pour La Danse,"12"", EP, RE, RM",,2022,25372375,Uncategorized,2022-12-22 09:29:55,,,
NJR-024,猫 シ Corp.,Sunday Television,Needlejuice Records,"LP, Album, Ltd, Ora",,2022,22111177,Uncategorized,2023-01-19 14:35:05,Mint (M),Mint (M),
NJR-054,desert sand feels warm at night,新世界の弟子たち,Needlejuice Records,"2xLP, Album, Gol",,2022,22473364,Uncategorized,2023-01-13 16:31:56,Mint (M),Near Mint (NM or M-),
NCR050EP1,"Night Tempo, Anri (2)",Anri - Night Tempo Presents The Showa Groove Ep1,Neoncity Records,"7"", Single, Ltd, Blu",,2021,18595234,Uncategorized,2023-02-06 06:04:21,Near Mint (NM or M-),Very Good Plus (VG+),
NWA009,Squarewave (3),Squarewave EP,New World Audio,"12"", EP",,2013,4437877,Uncategorized,2013-07-18 16:56:37,,,
ZEN12633,Floating Points,Someone Close,Ninja Tune,"12"", EP, Ltd",,2022,25506502,Uncategorized,2023-01-13 16:31:56,Mint (M),Near Mint (NM or M-),
JAH007,Kromestar,Can You Kick It?,Not On Label,"10"", Unofficial",,2009,1782652,Uncategorized,2013-08-06 16:38:17,,,
